Região de Planejamento,Município,Total,mun_upp
CARIRI,Abaiara,111,ABAIARA
CARIRI,Altaneira,108,ALTANEIRA
CARIRI,Antonina do Norte,131,ANTONINA DO NORTE
CARIRI,Araripe,102,ARARIPE
CARIRI,Assaré,221,ASSARÉ
CARIRI,Aurora,156,AURORA
CARIRI,Barbalha,236,BARBALHA
CARIRI,Barro,136,BARRO
CARIRI,Brejo Santo,194,BREJO SANTO
CARIRI,Campos Sales,105,CAMPOS SALES
CARIRI,Caririaçu,410,CARIRIAÇU
CARIRI,Crato,556,CRATO
CARIRI,Farias Brito,125,FARIAS BRITO
CARIRI,Granjeiro,108,GRANJEIRO
CARIRI,Jardim,136,JARDIM
CARIRI,Jati,101,JATI
CARIRI,Juazeiro do Norte,875,JUAZEIRO DO NORTE
CARIRI,Lavras da Mangabeira,286,LAVRAS DA MANGABEIRA
CARIRI,Mauriti,204,MAURITI
CARIRI,Milagres,221,MILAGRES
CARIRI,Missão Velha,188,MISSÃO VELHA
CARIRI,Nova Olinda,234,NOVA OLINDA
CARIRI,Penaforte,109,PENAFORTE
CARIRI,Porteiras,100,PORTEIRAS
CARIRI,Potengi,117,POTENGI
CARIRI,Salitre,100,SALITRE
CARIRI,Santana do Cariri,236,SANTANA DO CARIRI
CARIRI,Tarrafas,102,TARRAFAS
CARIRI,Várzea Alegre,195,VÁRZEA ALEGRE
CENTRO SUL,Acopiara,448,ACOPIARA
CENTRO SUL,Baixio,122,BAIXIO
CENTRO SUL,Cariús,155,CARIÚS
CENTRO SUL,Catarina,108,CATARINA
CENTRO SUL,Cedro,190,CEDRO
CENTRO SUL,Icó,551,ICÓ
CENTRO SUL,Iguatu,402,IGUATU
CENTRO SUL,Ipaumirim,124,IPAUMIRIM
CENTRO SUL,Jucás,329,JUCÁS
CENTRO SUL,Orós,204,ORÓS
CENTRO SUL,Quixelô,109,QUIXELÔ
CENTRO SUL,Saboeiro,173,SABOEIRO
CENTRO SUL,Umari,105,UMARI
GRANDE FORTALEZA,Aquiraz,416,AQUIRAZ
GRANDE FORTALEZA,Cascavel,359,CASCAVEL
GRANDE FORTALEZA,Caucaia,1729,CAUCAIA
GRANDE FORTALEZA,Chorozinho,103,CHOROZINHO
GRANDE FORTALEZA,Eusébio,174,EUSÉBIO
GRANDE FORTALEZA,Fortaleza,9039,FORTALEZA
GRANDE FORTALEZA,Guaiúba,107,GUAIÚBA
GRANDE FORTALEZA,Horizonte,199,HORIZONTE
GRANDE FORTALEZA,Itaitinga,200,ITAITINGA
GRANDE FORTALEZA,Maracanaú,975,MARACANAÚ
GRANDE FORTALEZA,Maranguape,577,MARANGUAPE
GRANDE FORTALEZA,Pacajus,219,PACAJUS
GRANDE FORTALEZA,Pacatuba,284,PACATUBA
GRANDE FORTALEZA,Paracuru,174,PARACURU
GRANDE FORTALEZA,Paraipaba,183,PARAIPABA
GRANDE FORTALEZA,Pindoretama,114,PINDORETAMA
GRANDE FORTALEZA,São Gonçalo do Amarante,214,SÃO GONÇALO DO AMARANTE
GRANDE FORTALEZA,São Luís do Curu,105,SÃO LUÍS DO CURU
GRANDE FORTALEZA,Trairi,501,TRAIRI
LITORAL LESTE,Aracati,234,ARACATI
LITORAL LESTE,Beberibe,394,BEBERIBE
LITORAL LESTE,Fortim,101,FORTIM
LITORAL LESTE,Icapuí,104,ICAPUÍ
LITORAL LESTE,Itaiçaba,103,ITAIÇABA
LITORAL LESTE,Jaguaruana,190,JAGUARUANA
LITORAL NORTE,Acaraú,675,ACARAÚ
LITORAL NORTE,Barroquinha,104,BARROQUINHA
LITORAL NORTE,Bela Cruz,202,BELA CRUZ
LITORAL NORTE,Camocim,291,CAMOCIM
LITORAL NORTE,Chaval,255,CHAVAL
LITORAL NORTE,Cruz,211,CRUZ
LITORAL NORTE,Granja,269,GRANJA
LITORAL NORTE,Itarema,421,ITAREMA
LITORAL NORTE,Jijoca de Jericoacoara,101,JIJOCA DE JERICOACOARA
LITORAL NORTE,Marco,133,MARCO
LITORAL NORTE,Martinópole,184,MARTINÓPOLE
LITORAL NORTE,Morrinhos,102,MORRINHOS
LITORAL NORTE,Uruoca,124,URUOCA
LITORAL OESTE / VALE DO CURU,Amontada,231,AMONTADA
LITORAL OESTE / VALE DO CURU,Apuiarés,115,APUIARÉS
LITORAL OESTE / VALE DO CURU,General Sampaio,105,GENERAL SAMPAIO
LITORAL OESTE / VALE DO CURU,Irauçuba,230,IRAUÇUBA
LITORAL OESTE / VALE DO CURU,Itapagé,212,ITAPAGÉ
LITORAL OESTE / VALE DO CURU,Itapipoca,588,ITAPIPOCA
LITORAL OESTE / VALE DO CURU,Miraíma,108,MIRAÍMA
LITORAL OESTE / VALE DO CURU,Pentecoste,160,PENTECOSTE
