IBGE,Município,mun_upp,Total,Inclusão,total_inclusao
2300101,Abaiara,ABAIARA,111,50,161
2300150,Acarape,ACARAPE,146,39,185
2300200,Acaraú,ACARAÚ,675,232,907
2300309,Acopiara,ACOPIARA,448,158,606
2300408,Aiuaba,AIUABA,212,44,256
2300507,Alcântaras,ALCÂNTARAS,100,50,150
2300606,Altaneira,ALTANEIRA,108,24,132
2300705,Alto Santo,ALTO SANTO,103,63,166
2300754,Amontada,AMONTADA,231,124,355
2300804,Antonina do Norte,ANTONINA DO NORTE,131,35,166
2300903,Apuiarés,APUIARÉS,115,34,149
2301000,Aquiraz,AQUIRAZ,416,146,562
2301109,Aracati,ARACATI,234,138,372
2301208,Aracoiaba,ARACOIABA,131,66,197
2301257,Ararendá,ARARENDÁ,101,43,144
2301307,Araripe,ARARIPE,102,62,164
2301406,Aratuba,ARATUBA,139,30,169
2301505,Arneiroz,ARNEIROZ,100,53,153
2301604,Assaré,ASSARÉ,221,62,283
2301703,Aurora,AURORA,156,47,203
2301802,Baixio,BAIXIO,122,36,158
2301851,Banabuiú,BANABUIÚ,100,44,144
2301901,Barbalha,BARBALHA,236,146,382
2301950,Barreira,BARREIRA,120,48,168
2302008,Barro,BARRO,136,38,174
2302057,Barroquinha,BARROQUINHA,104,38,142
2302107,Baturité,BATURITÉ,194,47,241
2302206,Beberibe,BEBERIBE,394,110,504
2302305,Bela Cruz,BELA CRUZ,202,68,270
2302404,Boa Viagem,BOA VIAGEM,333,68,401
2302503,Brejo Santo,BREJO SANTO,194,123,317
2302602,Camocim,CAMOCIM,291,106,397
2302701,Campos Sales,CAMPOS SALES,105,58,163
2302800,Canindé,CANINDÉ,413,99,512
2302909,Capistrano,CAPISTRANO,132,19,151
2303006,Caridade,CARIDADE,269,66,335
2303105,Cariré,CARIRÉ,169,28,197
2303204,Caririaçu,CARIRIAÇU,410,77,487
2303303,Cariús,CARIÚS,155,42,197
2303402,Carnaubal,CARNAUBAL,137,36,173
2303501,Cascavel,CASCAVEL,359,121,480
2303600,Catarina,CATARINA,108,36,144
2303659,Catunda,CATUNDA,107,34,141
2303709,Caucaia,CAUCAIA,1729,631,2360
2303808,Cedro,CEDRO,190,51,241
2303907,Chaval,CHAVAL,255,52,307
2303931,Choró,CHORÓ,132,29,161
2303956,Chorozinho,CHOROZINHO,103,58,161
2304004,Coreaú,COREAÚ,158,30,188
2304103,Crateús,CRATEÚS,258,104,362
2304202,Crato,CRATO,556,241,797
2304236,Croatá,CROATÁ,209,38,247
2304251,Cruz,CRUZ,211,62,273
2304269,Deputado Irapuan Pinheiro,DEPUTADO IRAPUAN PINHEIRO,114,41,155
2304277,Ererê,ERERÊ,102,56,158
2304285,Eusébio,EUSÉBIO,174,89,263
2304350,Forquilha,FORQUILHA,102,53,155
2304400,Fortaleza,FORTALEZA,9039,4257,13296
2304459,Fortim,FORTIM,101,63,164
2304509,Frecheirinha,FRECHEIRINHA,100,49,149
2304608,General Sampaio,GENERAL SAMPAIO,105,35,140
2304657,Graça,GRAÇA,100,42,142
2304707,Granja,GRANJA,269,84,353
2304806,Granjeiro,GRANJEIRO,108,36,144
2304905,Groaíras,GROAÍRAS,114,48,162
2304954,Guaiúba,GUAIÚBA,107,55,162
2305001,Guaraciaba do Norte,GUARACIABA DO NORTE,211,68,279
2305100,Guaramiranga,GUARAMIRANGA,105,43,148
2305209,Hidrolândia,HIDROLÂNDIA,106,31,137
2305233,Horizonte,HORIZONTE,199,111,310
2305266,Ibaretama,IBARETAMA,174,32,206
2305308,Ibiapina,IBIAPINA,113,77,190
2305332,Ibicuitinga,IBICUITINGA,103,39,142
2305357,Icapuí,ICAPUÍ,104,48,152
2305407,Icó,ICÓ,551,172,723
2305506,Iguatu,IGUATU,402,207,609
2305605,Independência,INDEPENDÊNCIA,122,67,189
2305654,Ipaporanga,IPAPORANGA,115,38,153
2305704,Ipaumirim,IPAUMIRIM,124,37,161
2305803,Ipu,IPU,280,103,383
2305902,Ipueiras,IPUEIRAS,176,73,249
2306009,Iracema,IRACEMA,107,55,162
2306108,Irauçuba,IRAUÇUBA,230,81,311
2306207,Itaiçaba,ITAIÇABA,103,41,144
2306256,Itaitinga,ITAITINGA,200,109,309
2306306,Itapajé,ITAPAJÉ,212,84,296
2306405,Itapipoca,ITAPIPOCA,588,180,768
2306504,Itapiúna,ITAPIÚNA,106,22,128
2306553,Itarema,ITAREMA,421,126,547
2306603,Itatira,ITATIRA,446,104,550
2306702,Jaguaretama,JAGUARETAMA,109,45,154
2306801,Jaguaribara,JAGUARIBARA,108,45,153
2306900,Jaguaribe,JAGUARIBE,108,70,178
2307007,Jaguaruana,JAGUARUANA,190,70,260
2307106,Jardim,JARDIM,136,69,205
2307205,Jati,JATI,101,59,160
2307254,Jijoca de Jericoacoara,JIJOCA DE JERICOACOARA,101,48,149
2307304,Juazeiro do Norte,JUAZEIRO DO NORTE,875,458,1333
2307403,Jucás,JUCÁS,329,70,399
2307502,Lavras da Mangabeira,LAVRAS DA MANGABEIRA,286,59,345
2307601,Limoeiro do Norte,LIMOEIRO DO NORTE,239,105,344
2307635,Madalena,MADALENA,204,41,245
2307650,Maracanaú,MARACANAÚ,975,350,1325
2307700,Maranguape,MARANGUAPE,577,225,802
2307809,Marco,MARCO,133,46,179
2307908,Martinópole,MARTINÓPOLE,184,40,224
2308005,Massapê,MASSAPÊ,167,87,254
2308104,Mauriti,MAURITI,204,91,295
2308203,Meruoca,MERUOCA,101,61,162
2308302,Milagres,MILAGRES,221,63,284
2308351,Milhã,MILHÃ,100,35,135
2308377,Miraíma,MIRAÍMA,108,52,160
2308401,Missão Velha,MISSÃO VELHA,188,79,267
2308609,Monsenhor Tabosa,MONSENHOR TABOSA,184,53,237
2308708,Morada Nova,MORADA NOVA,290,107,397
2308807,Moraújo,MORAÚJO,143,33,176
2308906,Morrinhos,MORRINHOS,102,46,148
2309003,Mucambo,MUCAMBO,102,55,157
2309102,Mulungu,MULUNGU,163,31,194
2309201,Nova Olinda,NOVA OLINDA,234,61,295
2309300,Nova Russas,NOVA RUSSAS,115,60,175
2309409,Novo Oriente,NOVO ORIENTE,201,57,258
2309458,Ocara,OCARA,120,37,157
2309508,Orós,ORÓS,204,49,253
2309607,Pacajus,PACAJUS,219,99,318
2309706,Pacatuba,PACATUBA,284,188,472
2309805,Pacoti,PACOTI,101,45,146
2309904,Pacujá,PACUJÁ,101,43,144
2310001,Palhano,PALHANO,121,51,172
2310100,Palmácia,PALMÁCIA,104,43,147
2310209,Paracuru,PARACURU,174,51,225
2310258,Paraipaba,PARAIPABA,183,80,263
2310308,Parambu,PARAMBU,117,56,173
2310407,Paramoti,PARAMOTI,118,29,147
2310506,Pedra Branca,PEDRA BRANCA,206,74,280
2310605,Penaforte,PENAFORTE,109,32,141
2310704,Pentecoste,PENTECOSTE,160,67,227
2310803,Pereiro,PEREIRO,140,38,178
2310852,Pindoretama,PINDORETAMA,114,59,173
2310902,Piquet Carneiro,PIQUET CARNEIRO,125,23,148
2310951,Pires Ferreira,PIRES FERREIRA,101,51,152
2311009,Poranga,PORANGA,100,39,139
2311108,Porteiras,PORTEIRAS,100,75,175
2311207,Potengi,POTENGI,117,35,152
2311231,Potiretama,POTIRETAMA,104,48,152
2311264,Quiterianópolis,QUITERIANÓPOLIS,100,51,151
2311306,Quixadá,QUIXADÁ,509,187,696
2311355,Quixelô,QUIXELÔ,109,44,153
2311405,Quixeramobim,QUIXERAMOBIM,363,89,452
2311504,Quixeré,QUIXERÉ,101,61,162
2311603,Redenção,REDENÇÃO,129,37,166
2311702,Reriutaba,RERIUTABA,149,47,196
2311801,Russas,RUSSAS,272,105,377
2311900,Saboeiro,SABOEIRO,173,41,214
2311959,Salitre,SALITRE,100,48,148
2312007,Santana do Acaraú,SANTANA DO ACARAÚ,456,97,553
2312106,Santana do Cariri,SANTANA DO CARIRI,236,45,281
2312205,Santa Quitéria,SANTA QUITÉRIA,229,83,312
2312304,São Benedito,SÃO BENEDITO,222,93,315
2312403,São Gonçalo do Amarante,SÃO GONÇALO DO AMARANTE,214,118,332
2312502,São João do Jaguaribe,SÃO JOÃO DO JAGUARIBE,100,67,167
2312601,São Luís do Curu,SÃO LUÍS DO CURU,105,44,149
2312700,Senador Pompeu,SENADOR POMPEU,245,71,316
2312809,Senador Sá,SENADOR SÁ,102,47,149
2312908,Sobral,SOBRAL,587,324,911
2313005,Solonópole,SOLONÓPOLE,110,36,146
2313104,Tabuleiro do Norte,TABULEIRO DO NORTE,142,47,189
2313203,Tamboril,TAMBORIL,182,50,232
2313252,Tarrafas,TARRAFAS,102,48,150
2313302,Tauá,TAUÁ,200,107,307
2313401,Tianguá,TIANGUÁ,347,138,485
2313500,Trairi,TRAIRI,501,149,650
2313559,Tururu,TURURU,151,45,196
2313609,Ubajara,UBAJARA,163,47,210
2313708,Umari,UMARI,105,38,143
2313757,Umirim,UMIRIM,298,48,346
2313807,Uruburetama,URUBURETAMA,128,50,178
2313906,Uruoca,URUOCA,124,29,153
2313955,Varjota,VARJOTA,111,46,157
2314003,Várzea Alegre,VÁRZEA ALEGRE,195,52,247
2314102,Viçosa do Ceará,VIÇOSA DO CEARÁ,743,161,904
2304301,Farias Brito,FARIAS BRITO,125,38,163
2308500,Mombaça,MOMBAÇA,352,116,468
2313351,Tejuçuoca,TEJUÇUOCA,361,59,420
