mun_upp,CNPJ,TELEFONE,CIDADE,ESTADO,ENDERECO,PRODUTO,CREDENCIADO,BAIRRO,RAMO_ATIVIDADE,bairro_upp
ABAIARA,2846511000154,,Abaiara,CE,VL SAO JOSE DAS LAJES 32,CARTAO CEARA SEM FOME,SAO JOSE SUPERMERCADO,Centro,Supermercado,CENTRO
ABAIARA,10410965000106,,Abaiara,CE,R JOSE LEITE TAVARES 120,CARTAO CEARA SEM FOME,MERCANTIL DOIS IRMAOS,Centro,Mercado / Mini Mercado,CENTRO
ABAIARA,11386012000112,,Abaiara,CE,R MIZAEL ALVES MEDEIRO 302,CARTAO CEARA SEM FOME,MERCANTIL OLIVEIRA,Centro,Mercado / Mini Mercado,CENTRO
ABAIARA,41466210000157,,Abaiara,CE,AV CEL HUMBERTO BEZERRA 297,CARTAO CEARA SEM FOME,VALDEMIRO JOAO DE OLIVEIRA,Centro,Mercado / Mini Mercado,CENTRO
ABAIARA,69368983000110,,Abaiara,CE,R EXPEDITO O DAS NEVES 59,CARTAO CEARA SEM FOME,MERCADINHO WILSON,Centro,Mercado / Mini Mercado,CENTRO
ABAIARA,86841855000160,(88) 3558-1175,Abaiara,CE,AV CORONEL HUMBERTO BEZERRA 30,CARTAO CEARA SEM FOME,MERCEARIA SAO JOSE,Centro,Mercado / Mini Mercado,CENTRO
ACARAPE,3659467000136,(85) 9612-2636,Acarape,CE,R HENRIQUE BESSA 199,CARTAO CEARA SEM FOME,COMERCIAL PARAISO,Centro,Mercado / Mini Mercado,CENTRO
ACARAPE,7486451000120,(85) 9871-48200,Acarape,CE,R JOSE GUILHERME COSTA 124,CARTAO CEARA SEM FOME,SUPERMERCADO TEND TUDO,Centro,Mercado / Mini Mercado,CENTRO
ACARAPE,9517617000820,,Acarape,CE,AV HELLADIO VASCONCELOS FERREIRA 106,CARTAO CEARA SEM FOME,SUPER TELEFRANGO,Centro,Supermercado,CENTRO
ACARAPE,26733875000196,(85) 3332-1001,Acarape,CE,R JOSE CRISTINO 155,CARTAO CEARA SEM FOME,MERCANTIL ALIANÇA,Centro,Mercado / Mini Mercado,CENTRO
ACARAPE,49595032000176,(88) 9852-58141,Acarape,CE,HENRIQUE BESSA 65,CARTAO CEARA SEM FOME,SUPERMERCADO ALIANCA,Centro,Supermercado,CENTRO
ACARAÚ,4163766001705,(85) 4008-2410,Acaraú,CE,rua coronel sales s/n,CARTAO CEARA SEM FOME,MERCADO BOM VIZINHO,Centro,Supermercado,CENTRO
ACARAÚ,11359718000195,,Acaraú,CE,LIVINO GRACIANO DA SILVEIRA 05,CARTAO CEARA SEM FOME,JURITIANHA COMERCIO,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,12289475000200,(88) 3667-1690,Acaraú,CE,"RUA CORONEL SALES, 290  ",CARTAO CEARA SEM FOME,SUPERMERCADO BOM JES,CENTRO,Supermercado,CENTRO
ACARAÚ,12524164000105,(88) 9631-9897,Acaraú,CE,AV JOSE MONTEIRO DE MELO 1180,CARTAO CEARA SEM FOME,MERCADINHO LIDERANCA,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,14571468000140,,Acaraú,CE,R PEDRO LOURENCO DA ROCHA SN,CARTAO CEARA SEM FOME,SUPER BOM PREÇO,Centro,Supermercado,CENTRO
ACARAÚ,15049735000187,,Acaraú,CE,R MIGUEL ARCANJO MENEZES 323,CARTAO CEARA SEM FOME,SUPERMERCADO BOM PRECO,Centro,Supermercado,CENTRO
ACARAÚ,16435559000184,(88) 2140-0626,Acaraú,CE,R EXPEDITO FARIAS 259,CARTAO CEARA SEM FOME,MERCANTIL C & E,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,17030442000183,,Acaraú,CE,R EXPEDITO FARIAS 328,CARTAO CEARA SEM FOME,PORTO SEGURO MERCANTIL,Centro,Supermercado,CENTRO
ACARAÚ,17030442000345,(85) 9843-12997,Acaraú,CE,AV GERALDO LOPES 46,CARTAO CEARA SEM FOME,PORTO SEGURO SUPERMERCADO,Centro,Supermercado,CENTRO
ACARAÚ,23454210000155,,Acaraú,CE,R DEPUTADO AMADEU GOMES 64,CARTAO CEARA SEM FOME,FRIGOMAX,Centro,Açougue,CENTRO
ACARAÚ,26722878000124,,Acaraú,CE,R MARIA ADEZIA DE ALBUQUERQUE 14,CARTAO CEARA SEM FOME,MERCEARIA GERALDO NONATO,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,28086399000194,,Acaraú,CE,R POVOADO DE IMBE SN,CARTAO CEARA SEM FOME,MERCADINHO M.A.C.,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,30721896000169,,Acaraú,CE,AV DESEMBARGADOR ARMANDO DE SOUZA LOUZAD 105,CARTAO CEARA SEM FOME,DATERRA,Centro,Supermercado,CENTRO
ACARAÚ,32768826000191,,Acaraú,CE,hugo martins 331,CARTAO CEARA SEM FOME,ATACADO DO VALE,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,42757235000172,,Acaraú,CE,itapuan sn,CARTAO CEARA SEM FOME,MERCADINHO DO EKSON,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,47681966000103,,Acaraú,CE,NEON SALES LOPES 255,CARTAO CEARA SEM FOME,MERCADINHO POMPEU,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,49317071000101,,Acaraú,CE,AV JOAO JAIME FERREIRA GOMES 349,CARTAO CEARA SEM FOME,PARAISO DAS FRUTAS HORTIFRUTI,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,50122821000179,,Acaraú,CE,R EXPEDITO JOSE SOUSA FARIAS 305,CARTAO CEARA SEM FOME,SUPER LIDERANCA ATACADISTA,Centro,Mercado / Mini Mercado,CENTRO
ACARAÚ,53569896000190,,Acaraú,CE,R LIVINO GRACIANO DA SILVEIRA 25,CARTAO CEARA SEM FOME,PR MERCANTIL,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,148553000196,(88) 9972-93613,Acopiara,CE,R PEDRO ALVES 534,CARTAO CEARA SEM FOME,MERCADINHO AIRES,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,783328000121,,Acopiara,CE,MARECHAL DEODORO 397,CARTAO CEARA SEM FOME,MERCANTIL MANIA,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,5456000000114,(88) 3565-0098,Acopiara,CE,PADRE LEOPOLDO ROLIM 62,CARTAO CEARA SEM FOME,MERCADINHO SAO FRANCISCO,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,5999148000103,(88) 3565-0714,Acopiara,CE,"AVENIDA CAZUZINHA MARQUES, N 154 ",CARTAO CEARA SEM FOME,MERCANTIL ALBUQUERQUE,CENTRO,Mercado / Mini Mercado,CENTRO
ACOPIARA,7009673000151,(88) 9815-28067,Acopiara,CE,MARECHAL DEODORO 445 A,CARTAO CEARA SEM FOME,J CLEANTO SUPERMERCADO,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,9078872000147,,Acopiara,CE,R FRANCISCO GURGEL VALENTE 155,CARTAO CEARA SEM FOME,FRIGOTIL,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,9305029000660,(88) 3561-2361,Acopiara,CE,AV JOSE MARQUES FILHO 54,CARTAO CEARA SEM FOME,SUPER QUEIROZ,Centro,Supermercado,CENTRO
ACOPIARA,10674571000165,,Acopiara,CE,AV LINDOVAL JOSE DE LIMA 377,CARTAO CEARA SEM FOME,MERCANTIL ARTUR,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,14693909000187,,Acopiara,CE,AV PEDRO ALVES DE OLIVEIRA 631,CARTAO CEARA SEM FOME,ACOPIFRIOS,Centro,Outros,CENTRO
ACOPIARA,15496610000103,,Acopiara,CE,JOSE DE MORAES PINHO 718,CARTAO CEARA SEM FOME,MERCADINHO MARTINS,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,20528192000110,(88) 3581-4905,Acopiara,CE,R MUTIRAO IV 86,CARTAO CEARA SEM FOME,CICERA DA SILVA,Centro,Loja de Armarinho,CENTRO
ACOPIARA,24657301000150,,Acopiara,CE,TANCREDO NEVES 243,CARTAO CEARA SEM FOME,VAREJAO RENATO,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,30227040000131,,Acopiara,CE,JOSE DE MORAIS PINHO 783,CARTAO CEARA SEM FOME,MERCADINHO CENTRAL,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,32939299000130,,Acopiara,CE,R LUIZ GONZAGA DE MENDONCA 25,CARTAO CEARA SEM FOME,DI VARIEDADES,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,37379541000182,,Acopiara,CE,LINDOVAL JOSE LIMA 383,CARTAO CEARA SEM FOME,FRIGORIFICO BOI FORTE,Centro,Açougue,CENTRO
ACOPIARA,47002585000142,,Acopiara,CE,SIT SITIO SANTA LUZIA SN,CARTAO CEARA SEM FOME,MERCADINHO CASA DO PÃO,Centro,Mercado / Mini Mercado,CENTRO
ACOPIARA,50484262000147,,Acopiara,CE,R NOSSA SENHORA DO CARMO 01,CARTAO CEARA SEM FOME,FRIGORIFICO CARVALHO,Centro,Frigorifico,CENTRO
AIUABA,12799765000112,,Aiuaba,CE,santa rita 80,CARTAO CEARA SEM FOME,MERCADINHO ANDRADE E VARIEDADES,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,13172626000127,(88) 9932-65428,Aiuaba,CE,JOSE MORAIS FEITOSA 104,CARTAO CEARA SEM FOME,MERCANTIL CAICARA,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,15536611000126,,Aiuaba,CE,OTONIO DE ANDRADE 101,CARTAO CEARA SEM FOME,AKI FRIOS,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,21891952000112,(88) 9997-42855,Aiuaba,CE,R ANTONIO BATISTA CAVALCANTE 81,CARTAO CEARA SEM FOME,MERCANTIL BATISTA,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,23299558000115,,Aiuaba,CE,SIT ASSENTAMENTO CHAPADA DAS MELANCIAS 114,CARTAO CEARA SEM FOME,MERCANTIL NOSSA SENHORA DA CONCEICAO,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,23335189000179,,Aiuaba,CE,R ARMANDO FEITOSA 150,CARTAO CEARA SEM FOME,MERCADINHO DISK AGUA,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,26967768000122,(88) 9944-05732,Aiuaba,CE,R FRANCISCO ALVES ROCHA 52,CARTAO CEARA SEM FOME,MERCADINHO PAIVA,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,30530716000161,(88) 9803-23959,Aiuaba,CE,R RUA DO COMERCIO 05,CARTAO CEARA SEM FOME,MERCEARIA AIUABA,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,35113086000143,(88) 9818-72427,Aiuaba,CE,R LEANDRO DE MORAIS FEITSOA 53,CARTAO CEARA SEM FOME,MERCADINHO ALCANTARA,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,35501392000157,,Aiuaba,CE,FRANCISCO VALDEVINO SOUSA 31,CARTAO CEARA SEM FOME,JUAREZ VILAR,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,44212732000110,,Aiuaba,CE,R BENTO HERCULES 11,CARTAO CEARA SEM FOME,IMPERIO VARIEDADES,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,47118478000184,(41) 9983-95973,Aiuaba,CE,R JOSE FEREIRA BARBOSA 36,CARTAO CEARA SEM FOME,FG MERCADINHO,Centro,Supermercado,CENTRO
AIUABA,47589230000100,,Aiuaba,CE,nicolau 49,CARTAO CEARA SEM FOME,MERCADINHO SOUSA LAR,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,60014182000181,,Aiuaba,CE,R ANTONIO BATISTA CAVALCANTE 81,CARTAO CEARA SEM FOME,MERCANTIL BATISTA,Centro,Mercado / Mini Mercado,CENTRO
AIUABA,72537939000109,,Aiuaba,CE,R RAIMUNDO DIAS DE OLIVEIRA 92,CARTAO CEARA SEM FOME,MERCANTIL ANDRADE,Centro,Mercado / Mini Mercado,CENTRO
ALCÂNTARAS,7595949000120,,Alcântaras,CE,DT DE CARMOLANDIA SN,CARTAO CEARA SEM FOME,MERCEARIA O PEDRO,Centro,Mercado / Mini Mercado,CENTRO
ALCÂNTARAS,9079125000123,,Alcântaras,CE,AV ANTONIO ROCHA FREIRE 525,CARTAO CEARA SEM FOME,TUDO DE BOM SUPERMERCADO,Centro,Supermercado,CENTRO
ALCÂNTARAS,12308391000195,(88) 9942-64015,Alcântaras,CE,R ANTONINO CUNHA S/N,CARTAO CEARA SEM FOME,MERCADINHO O MARICOTA,Centro,Mercado / Mini Mercado,CENTRO
ALCÂNTARAS,35381158000133,,Alcântaras,CE,JOAQUIM CARVALHO SN,CARTAO CEARA SEM FOME,MERCANTIL FAMILIA,Centro,Mercado / Mini Mercado,CENTRO
ALCÂNTARAS,41288416000134,,Alcântaras,CE,ANTONIO CUNHA SN,CARTAO CEARA SEM FOME,MERCANTIL MENEZES,Centro,Mercado / Mini Mercado,CENTRO
ALCÂNTARAS,41459108000124,(88) 9941-91081,Alcântaras,CE,PC VIRGILIO TAVORA 16,CARTAO CEARA SEM FOME,MERCADINHO MANOEL TIBUCIO,Centro,Supermercado,CENTRO
