,Nº LOTE,Município,mun_upp
0,LOTE 12,Caucaia,CAUCAIA
1,LOTE 13,Maracanaú,MARACANAÚ
2,LOTE 14,Guaiúba,GUAIÚBA
3,LOTE 14,Itaitinga,ITAITINGA
4,LOTE 14,Maranguape,MARANGUAPE
5,LOTE 14,Pacatuba,PACATUBA
6,LOTE 15,Aquiraz,AQUIRAZ
7,LOTE 15,Cascavel,CASCAVEL
8,LOTE 15,Chorozinho,CHOROZINHO
9,LOTE 15,Eusébio,EUSÉBIO
10,LOTE 15,Horizonte,HORIZONTE
11,LOTE 15,Pacajus,PACAJUS
12,LOTE 15,Pindoretama,PINDORETAMA
13,LOTE 16,Paracuru,PARACURU
14,LOTE 16,Paraipaba,PARAIPABA
15,LOTE 16,São Gonçalo do Amarante,SÃO GONÇALO DO AMARANTE
16,LOTE 16,São Luís do Curu,SÃO LUÍS DO CURU
17,LOTE 16,Trairi,TRAIRI
18,LOTE 17,Aracati,ARACATI
19,LOTE 17,Beberibe,BEBERIBE
20,LOTE 17,Fortim,FORTIM
21,LOTE 17,Icapuí,ICAPUÍ
22,LOTE 17,Itaiçaba,ITAIÇABA
23,LOTE 17,Jaguaruana,JAGUARUANA
24,LOTE 18,Barroquinha,BARROQUINHA
25,LOTE 18,Camocim,CAMOCIM
26,LOTE 18,Chaval,CHAVAL
27,LOTE 18,Granja,GRANJA
28,LOTE 18,Martinópole,MARTINÓPOLE
29,LOTE 18,Uruoca,URUOCA
30,LOTE 19,Acaraú,ACARAÚ
31,LOTE 19,Cruz,CRUZ
32,LOTE 19,Itarema,ITAREMA
33,LOTE 19,Jijoca de Jericoacoara,JIJOCA DE JERICOACOARA
34,LOTE 19,Marco,MARCO
35,LOTE 19,Morrinhos,MORRINHOS
36,LOTE 19,Bela Cruz,BELA CRUZ
37,LOTE 20,Amontada,AMONTADA
38,LOTE 20,Itapipoca,ITAPIPOCA
39,LOTE 20,Miraíma,MIRAÍMA
40,LOTE 20,Tururu,TURURU
41,LOTE 21,Apuiarés,APUIARÉS
42,LOTE 21,General Sampaio,GENERAL SAMPAIO
43,LOTE 21,Irauçuba,IRAUÇUBA
44,LOTE 21,Itapajé,ITAPAJÉ
45,LOTE 21,Pentecoste,PENTECOSTE
46,LOTE 21,Tejuçuoca,TEJUÇUOCA
47,LOTE 21,Umirim,UMIRIM
48,LOTE 21,Uruburetama,URUBURETAMA
49,LOTE 22,Caririaçu,CARIRIAÇU
50,LOTE 22,Farias Brito,FARIAS BRITO
51,LOTE 22,Granjeiro,GRANJEIRO
52,LOTE 22,Juazeiro do Norte,JUAZEIRO DO NORTE
53,LOTE 22,Várzea Alegre,VÁRZEA ALEGRE
54,LOTE 23,Abaiara,ABAIARA
55,LOTE 23,Crato,CRATO
56,LOTE 23,Jardim,JARDIM
57,LOTE 23,Barbalha,BARBALHA
58,LOTE 23,Missão Velha,MISSÃO VELHA
59,LOTE 24,Aurora,AURORA
60,LOTE 24,Barro,BARRO
61,LOTE 24,Brejo Santo,BREJO SANTO
62,LOTE 24,Jati,JATI
63,LOTE 24,Lavras da Mangabeira,LAVRAS DA MANGABEIRA
64,LOTE 24,Mauriti,MAURITI
65,LOTE 24,Milagres,MILAGRES
66,LOTE 24,Penaforte,PENAFORTE
67,LOTE 24,Porteiras,PORTEIRAS
68,LOTE 25,Altaneira,ALTANEIRA
69,LOTE 25,Antonina do Norte,ANTONINA DO NORTE
70,LOTE 25,Araripe,ARARIPE
71,LOTE 25,Assaré,ASSARÉ
72,LOTE 25,Campos Sales,CAMPOS SALES
73,LOTE 25,Nova Olinda,NOVA OLINDA
