Código do município (IBGE),Nome do município,mun_upp,Região de Planejamento
2300101,Abaiara,ABAIARA,Cariri
2300150,Acarape,ACARAPE,Maciço de Baturité
2300200,Acaraú,ACARAÚ,Litoral Norte
2300309,Acopiara,ACOPIARA,Centro Sul
2300408,Aiuaba,AIUABA,Sertão dos Inhamuns
2300507,Alcântaras,ALCÂNTARAS,Sertão de Sobral
2300606,Altaneira,ALTANEIRA,Cariri
2300705,Alto Santo,ALTO SANTO,Vale do Jaguaribe
2300754,Amontada,AMONTADA,Litoral Oeste / Vale do Curu
2300804,Antonina do Norte,ANTONINA DO NORTE,Cariri
2300903,Apuiarés,APUIARÉS,Litoral Oeste / Vale do Curu
2301000,Aquiraz,AQUIRAZ,Grande Fortaleza
2301109,Aracati,ARACATI,Litoral Leste
2301208,Aracoiaba,ARACOIABA,Maciço de Baturité
2301257,Ararendá,ARARENDÁ,Sertão dos Crateús
2301307,Araripe,ARARIPE,Cariri
2301406,Aratuba,ARATUBA,Maciço de Baturité
2301505,Arneiroz,ARNEIROZ,Sertão dos Inhamuns
2301604,Assaré,ASSARÉ,Cariri
2301703,Aurora,AURORA,Cariri
2301802,Baixio,BAIXIO,Centro Sul
2301851,Banabuiú,BANABUIÚ,Sertão Central
2301901,Barbalha,BARBALHA,Cariri
2301950,Barreira,BARREIRA,Maciço de Baturité
2302008,Barro,BARRO,Cariri
2302057,Barroquinha,BARROQUINHA,Litoral Norte
2302107,Baturité,BATURITÉ,Maciço de Baturité
2302206,Beberibe,BEBERIBE,Litoral Leste
2302305,Bela Cruz,BELA CRUZ,Litoral Norte
2302404,Boa Viagem,BOA VIAGEM,Sertão de Canindé
2302503,Brejo Santo,BREJO SANTO,Cariri
2302602,Camocim,CAMOCIM,Litoral Norte
2302701,Campos Sales,CAMPOS SALES,Cariri
2302800,Canindé,CANINDÉ,Sertão de Canindé
2302909,Capistrano,CAPISTRANO,Maciço de Baturité
2303006,Caridade,CARIDADE,Sertão de Canindé
2303105,Cariré,CARIRÉ,Sertão de Sobral
2303204,Caririaçu,CARIRIAÇU,Cariri
2303303,Cariús,CARIÚS,Centro Sul
2303402,Carnaubal,CARNAUBAL,Serra da Ibiapaba
2303501,Cascavel,CASCAVEL,Grande Fortaleza
2303600,Catarina,CATARINA,Centro Sul
2303659,Catunda,CATUNDA,Sertão dos Crateús
2303709,Caucaia,CAUCAIA,Grande Fortaleza
2303808,Cedro,CEDRO,Centro Sul
2303907,Chaval,CHAVAL,Litoral Norte
2303931,Choró,CHORÓ,Sertão Central
2303956,Chorozinho,CHOROZINHO,Grande Fortaleza
2304004,Coreaú,COREAÚ,Sertão de Sobral
2304103,Crateús,CRATEÚS,Sertão dos Crateús
2304202,Crato,CRATO,Cariri
2304236,Croatá,CROATÁ,Serra da Ibiapaba
2304251,Cruz,CRUZ,Litoral Norte
2304269,Deputado Irapuan Pinheiro,DEPUTADO IRAPUAN PINHEIRO,Sertão Central
2304277,Ererê,ERERÊ,Vale do Jaguaribe
2304285,Eusébio,EUSÉBIO,Grande Fortaleza
2304301,Farias Brito,FARIAS BRITO,Cariri
2304350,Forquilha,FORQUILHA,Sertão de Sobral
2304400,Fortaleza,FORTALEZA,Grande Fortaleza
2304459,Fortim,FORTIM,Litoral Leste
2304509,Frecheirinha,FRECHEIRINHA,Sertão de Sobral
2304608,General Sampaio,GENERAL SAMPAIO,Litoral Oeste / Vale do Curu
2304657,Graça,GRAÇA,Sertão de Sobral
2304707,Granja,GRANJA,Litoral Norte
2304806,Granjeiro,GRANJEIRO,Cariri
2304905,Groaíras,GROAÍRAS,Sertão de Sobral
2304954,Guaiúba,GUAIÚBA,Grande Fortaleza
2305001,Guaraciaba do Norte,GUARACIABA DO NORTE,Serra da Ibiapaba
2305100,Guaramiranga,GUARAMIRANGA,Maciço de Baturité
2305209,Hidrolândia,HIDROLÂNDIA,Sertão dos Crateús
2305233,Horizonte,HORIZONTE,Grande Fortaleza
2305266,Ibaretama,IBARETAMA,Sertão Central
2305308,Ibiapina,IBIAPINA,Serra da Ibiapaba
2305332,Ibicuitinga,IBICUITINGA,Sertão Central
2305357,Icapuí,ICAPUÍ,Litoral Leste
2305407,Icó,ICÓ,Centro Sul
2305506,Iguatu,IGUATU,Centro Sul
2305605,Independência,INDEPENDÊNCIA,Sertão dos Crateús
2305654,Ipaporanga,IPAPORANGA,Sertão dos Crateús
2305704,Ipaumirim,IPAUMIRIM,Centro Sul
2305803,Ipu,IPU,Serra da Ibiapaba
2305902,Ipueiras,IPUEIRAS,Sertão dos Crateús
2306009,Iracema,IRACEMA,Vale do Jaguaribe
2306108,Irauçuba,IRAUÇUBA,Litoral Oeste / Vale do Curu
2306207,Itaiçaba,ITAIÇABA,Litoral Leste
2306256,Itaitinga,ITAITINGA,Grande Fortaleza
2306306,Itapajé,ITAPAJÉ,Litoral Oeste / Vale do Curu
2306405,Itapipoca,ITAPIPOCA,Litoral Oeste / Vale do Curu
2306504,Itapiúna,ITAPIÚNA,Maciço de Baturité
2306553,Itarema,ITAREMA,Litoral Norte
2306603,Itatira,ITATIRA,Sertão de Canindé
2306702,Jaguaretama,JAGUARETAMA,Vale do Jaguaribe
2306801,Jaguaribara,JAGUARIBARA,Vale do Jaguaribe
2306900,Jaguaribe,JAGUARIBE,Vale do Jaguaribe
2307007,Jaguaruana,JAGUARUANA,Litoral Leste
2307106,Jardim,JARDIM,Cariri
2307205,Jati,JATI,Cariri
2307254,Jijoca de Jericoacoara,JIJOCA DE JERICOACOARA,Litoral Norte
2307304,Juazeiro do Norte,JUAZEIRO DO NORTE,Cariri
2307403,Jucás,JUCÁS,Centro Sul
2307502,Lavras da Mangabeira,LAVRAS DA MANGABEIRA,Cariri
2307601,Limoeiro do Norte,LIMOEIRO DO NORTE,Vale do Jaguaribe
2307635,Madalena,MADALENA,Sertão de Canindé
2307650,Maracanaú,MARACANAÚ,Grande Fortaleza
2307700,Maranguape,MARANGUAPE,Grande Fortaleza
2307809,Marco,MARCO,Litoral Norte
2307908,Martinópole,MARTINÓPOLE,Litoral Norte
2308005,Massapê,MASSAPÊ,Sertão de Sobral
2308104,Mauriti,MAURITI,Cariri
2308203,Meruoca,MERUOCA,Sertão de Sobral
2308302,Milagres,MILAGRES,Cariri
2308351,Milhã,MILHÃ,Sertão Central
2308377,Miraíma,MIRAÍMA,Litoral Oeste / Vale do Curu
2308401,Missão Velha,MISSÃO VELHA,Cariri
2308500,Mombaça,MOMBAÇA,Sertão Central
2308609,Monsenhor Tabosa,MONSENHOR TABOSA,Sertão dos Crateús
2308708,Morada Nova,MORADA NOVA,Vale do Jaguaribe
2308807,Moraújo,MORAÚJO,Sertão de Sobral
2308906,Morrinhos,MORRINHOS,Litoral Norte
2309003,Mucambo,MUCAMBO,Sertão de Sobral
2309102,Mulungu,MULUNGU,Maciço de Baturité
2309201,Nova Olinda,NOVA OLINDA,Cariri
2309300,Nova Russas,NOVA RUSSAS,Sertão dos Crateús
2309409,Novo Oriente,NOVO ORIENTE,Sertão dos Crateús
2309458,Ocara,OCARA,Maciço de Baturité
2309508,Orós,ORÓS,Centro Sul
2309607,Pacajus,PACAJUS,Grande Fortaleza
