;Instrumento;Convenente;Nº OBT;Valor OBT;Data Emissão;CPF/CNPJ;Fornecedor;Tipo DL;Descrição do Item;Data Pagamento;Situação OBT;CPF/CNPJ STR;CNPJ BÁSICO;CNPJ ORDEM;CNPJ DV;IDENTIFICADOR MATRIZ/FILIAL;NOME FANTASIA;SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;MOTIVO SITUAÇÃO CADASTRAL;NOME DA CIDADE NO EXTERIOR;PAÍS;DATA DE INÍCIO ATIVIDADE;CNAE FISCAL PRINCIPAL;CNAE FISCAL SECUNDÁRIA;TIPO DE LOGRADOURO;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICÍPIO;DDD 1;TELEFONE 1;DDD 2;TELEFONE 2;DDD DO FAX;FAX;CORREIO ELETRÔNICO;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL;CNPJ;codigo;municipio;Código do município (IBGE);Nome do município;Região de Planejamento;Municipio_upp;Nº LOTE;Município
0;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,0231E+16;274.71;45208,62163;899037000101;POSTO DOTH LTDA;Nota Fiscal;"Deslocamento e Logística (combustiveis, locação de veiculos)
";45209;Efetivada;00899037000101;00899037;0001;01;1;POSTO DOTH;02;20051103;00;;;19951009;4731800;4520005,4520006,4530705,4732600,4784900;RUA;SEBASTIAO RIBEIRO DA SILVA;S/N;;CENTRO;63800000;CE;1529;88;34410265;;;;;POSTODOTH@GMAIL.COM;;;00899037000101;1529;QUIXERAMOBIM;2311405;Quixeramobim;Sertão Central;QUIXERAMOBIM;LOTE 30;Quixeramobim
1;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,0231E+16;45598.81;45230,65222;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);45231;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;;;20140903;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;CE;1529;88;34410998;;;;;;;;20968028000124;1529;QUIXERAMOBIM;2311405;Quixeramobim;Sertão Central;QUIXERAMOBIM;LOTE 30;Quixeramobim
2;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,0231E+16;120.0;45230,6573;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;"Consumo (gás, luz, água)
";45231;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;;;20140903;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;CE;1529;88;34410998;;;;;;;;20968028000124;1529;QUIXERAMOBIM;2311405;Quixeramobim;Sertão Central;QUIXERAMOBIM;LOTE 30;Quixeramobim
3;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,0231E+16;577.99;45230,67373;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);45231;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;;;20140903;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;CE;1529;88;34410998;;;;;;;;20968028000124;1529;QUIXERAMOBIM;2311405;Quixeramobim;Sertão Central;QUIXERAMOBIM;LOTE 30;Quixeramobim
4;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,0231E+16;1560.0;45230,67815;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;"Consumo (gás, luz, água)
";45231;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;;;20140903;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;CE;1529;88;34410998;;;;;;;;20968028000124;1529;QUIXERAMOBIM;2311405;Quixeramobim;Sertão Central;QUIXERAMOBIM;LOTE 30;Quixeramobim
5;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,0231E+16;679.18;45230,6844;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;"Matérial de Higienização e Limpeza 
";45231;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;;;20140903;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;CE;1529;88;34410998;;;;;;;;20968028000124;1529;QUIXERAMOBIM;2311405;Quixeramobim;Sertão Central;QUIXERAMOBIM;LOTE 30;Quixeramobim
6;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,0231E+16;8169.08;45230,69025;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;"Embalagens e Descartáveis  (marmita, colher e touca)
";45231;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;;;20140903;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;CE;1529;88;34410998;;;;;;;;20968028000124;1529;QUIXERAMOBIM;2311405;Quixeramobim;Sertão Central;QUIXERAMOBIM;LOTE 30;Quixeramobim
7;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,02311E+16;11000.0;45231,63792;3448365000171;F C IBIAPINA;Nota Fiscal;"Deslocamento e Logística (combustiveis, locação de veiculos)
";45233;Efetivada;03448365000171;03448365;0001;71;1;;02;20051103;00;;;19991008;8211300;7711000;RUA;BARAO DO RIO BRANCO;1071;SALA  728;CENTRO;60025060;CE;1389;85;99874267;;;;;;;;03448365000171;1389;FORTALEZA;2304400;Fortaleza;Grande Fortaleza;FORTALEZA;;
8;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,02311E+16;8390.0;45231,64473;7453545000100;MT MARTINS BATISTA LTDA;Nota Fiscal;"Serviço de preparo de alimento
";45233;Efetivada;07453545000100;07453545;0001;00;1;R MARTINS COMERCIO E SERVICOS;02;20210622;00;;;20050613;4761003;1412602,1413402,1811301,1812100,1813001,1821100,1822901,1830001,2399199,3600602,4322302,4330404,4399104,4511101,4511102,4520001,4530703,4530705,4712100,4713004,4721102,4721103,4721104,4722901,4723700,4724500,4729601,4732600,4741500,4742300,4743100,4744001,4744003,4751201,4752100,4753900,4754701,4754703,4755501,4755503,4756300,4757100,4759801,4761001,4762800,4763601,4763602,4772500,4773300,4774100,4781400,4782201,4783101,4785701,4789001,4789005,4789007,4923002,4924800,4929902,5510801,5611201,5620101,5620102,5819100,6209100,6311900,6920601,7020400,7311400,7319003,7319004,7711000,7719599,7739003,7739099,8211300,8219901,8219999,8230001,8230002,8599604,9319101,9511800,9512600,9529105;RUA;RAIMUNDO ALCOFORADO;620;;ALTO GUARAMIRANGA;62700000;CE;1355;85;92519346;;;;;R.RECON@HOTMAIL.COM;;;07453545000100;1355;CANINDE;2302800;Canindé;Sertão de Canindé;CANINDE;LOTE 32;Canindé
9;1284431;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;2,02311E+16;503.16;45232,56772;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);45233;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;;;20060621;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;CE;1555;88;34490848;;;;;;;;08107174000160;1555;SENADOR POMPEU;2312700;Senador Pompeu;Sertão Central;SENADOR POMPEU;LOTE 31;Senador Pompeu
