;Orgão;Instrumento;Nº OBT;Valor OBT;Data Emissão;CPF/CNPJ;Fornecedor;Tipo DL;Código Item;IPT;Valor DL;Nº DL;Valor Item;Data Pagamento;Dia;Quinzena;Mês;Ano;Situação OBT;CNPJ 14FILL;CNPJ BÁSICO;CNPJ ORDEM;CNPJ DV;IDENTIFICADOR MATRIZ/FILIAL;NOME FANTASIA;SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;MOTIVO SITUAÇÃO CADASTRAL;CNAE FISCAL PRINCIPAL;CNAE FISCAL SECUNDÁRIA;TIPO DE LOGRADOURO;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL;CNPJ;codigo;Código do município (IBGE);Nome do município;mun_upp;Região de Planejamento;REGIÃO DE PLANEJAMENTO;Nº LOTE;UNIDADE GERENCIADORA;Município;NÚMERO DE COZINHAS POR MUNICÍPIO;N° COZINHAS TOTAL /LOTE;N° COZINHAS FUNCIONANDO;FUNCIONANDO (TOTAL/LOTE);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024) TOTAL;NOVAS COZINHAS (2025);TOTAL DE COZINHA PARA ABRIR;TOTAL GERAL COZINHAS/LOTE;REFEIÇÕES /DIA
0;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231009001100000;274.71;2023-10-09;899037000101;POSTO DOTH LTDA;Nota Fiscal;121;"Deslocamento e Logística (combustiveis, locação de veiculos)
";274.72;6748;274.72;2023-10-10;10;1ªQuinzena;out.;2023;Efetivada;00899037000101;00899037;0001;01;1;POSTO DOTH;02;20051103;00;4731800;4520005,4520006,4530705,4732600,4784900;RUA;SEBASTIAO RIBEIRO DA SILVA;S/N;;CENTRO;63800000;;;00899037000101;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
1;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231031001112300;45598.81;2023-10-31;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);45598.81;1999;3235.19;2023-11-01;1;1ªQuinzena;nov.;2023;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;;;20968028000124;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
2;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231031001112400;577.99;2023-10-31;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);577.99;2021;577.99;2023-11-01;1;1ªQuinzena;nov.;2023;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;;;20968028000124;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
3;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231031001112400;679.18;2023-10-31;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;213;"Matérial de Higienização e Limpeza 
";679.18;1998;206.28;2023-11-01;1;1ªQuinzena;nov.;2023;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;;;20968028000124;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
4;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231031001112500;8169.08;2023-10-31;20968028000124;M J DE QUEIROZ NOGUEIRA MERCEARIA ME;Nota Fiscal;212;"Embalagens e Descartáveis  (marmita, colher e touca)
";8169.08;1994;79.08;2023-11-01;1;1ªQuinzena;nov.;2023;Efetivada;20968028000124;20968028;0001;24;1;;02;20140903;00;4712100;4721102,5611203;RUA;DONA ADELIA ALBUQUERQUE;401;;SALVIANO CARLOS;63800000;;;20968028000124;1529;2311405.0;Quixeramobim;QUIXERAMOBIM;Sertão Central;Sertão Central;LOTE 30;CENTRO SOCIAL DOS MORADORES DO PARQUE SÃO JOSÉ;Quixeramobim;11.0;36.0;11.0;36.0;0.0;0.0;4.0;4.0;40.0;4.0
5;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231101001113500;11000.0;2023-11-01;3448365000171;F C IBIAPINA;Nota Fiscal;121;"Deslocamento e Logística (combustiveis, locação de veiculos)
";11000.0;282;5000.0;2023-11-03;3;1ªQuinzena;nov.;2023;Efetivada;03448365000171;03448365;0001;71;1;;02;20051103;00;8211300;7711000;RUA;BARAO DO RIO BRANCO;1071;SALA  728;CENTRO;60025060;;;03448365000171;1389;2304400.0;Fortaleza;FORTALEZA;Grande Fortaleza;;;;;;;;;;;;;;
6;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231101001113500;8390.0;2023-11-01;7453545000100;MT MARTINS BATISTA LTDA;Nota Fiscal;122;"Serviço de preparo de alimento
";8390.0;290;8390.0;2023-11-03;3;1ªQuinzena;nov.;2023;Efetivada;07453545000100;07453545;0001;00;1;R MARTINS COMERCIO E SERVICOS;02;20210622;00;4761003;1412602,1413402,1811301,1812100,1813001,1821100,1822901,1830001,2399199,3600602,4322302,4330404,4399104,4511101,4511102,4520001,4530703,4530705,4712100,4713004,4721102,4721103,4721104,4722901,4723700,4724500,4729601,4732600,4741500,4742300,4743100,4744001,4744003,4751201,4752100,4753900,4754701,4754703,4755501,4755503,4756300,4757100,4759801,4761001,4762800,4763601,4763602,4772500,4773300,4774100,4781400,4782201,4783101,4785701,4789001,4789005,4789007,4923002,4924800,4929902,5510801,5611201,5620101,5620102,5819100,6209100,6311900,6920601,7020400,7311400,7319003,7319004,7711000,7719599,7739003,7739099,8211300,8219901,8219999,8230001,8230002,8599604,9319101,9511800,9512600,9529105;RUA;RAIMUNDO ALCOFORADO;620;;ALTO GUARAMIRANGA;62700000;;;07453545000100;1355;2302800.0;Canindé;CANINDÉ;Sertão de Canindé;Sertão de Canindé;LOTE 32;CACTUS;Canindé;10.0;31.0;10.0;31.0;0.0;0.0;2.0;2.0;33.0;3.3
7;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231102001113900;503.16;2023-11-02;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);503.16;11322;503.16;2023-11-03;3;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
8;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231102001113900;5627.88;2023-11-02;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;213;"Matérial de Higienização e Limpeza 
";5627.88;11323;5627.88;2023-11-03;3;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
9;instituto antonio conselheiro de apoio, assessoria e pesquisa para o desenvolvimento humano;1284431;20231102001113900;5356.4;2023-11-02;8107174000160;F V OLIVEIRA NOGUEIRA;Nota Fiscal;212;"Embalagens e Descartáveis  (marmita, colher e touca)
";5356.4;11301;4926.5;2023-11-03;3;1ªQuinzena;nov.;2023;Efetivada;08107174000160;08107174;0001;60;1;;02;20060621;00;4711302;1091102,4721102,4721103,4721104,4722901,4723700,4724500,4742300,4751201,4753900,4755502,4755503,4761003,4763601,4763602,4772500,4782201,4789004,4789005,4930201;PRACA;ALCIDES BARREIRA;48;;CENTRO;63600000;;;08107174000160;1555;2312700.0;Senador Pompeu;SENADOR POMPEU;Sertão Central;Sertão Central;LOTE 31;IARTE;Senador Pompeu;9.0;29.0;9.0;29.0;0.0;0.0;2.0;2.0;31.0;3.1
