mun_upp,Região de Planejamento,qtd_estabelecimentos
ABAIARA,Cariri,6
ACARAPE,Maciço de Baturité,5
ACARAÚ,Litoral Norte,19
ACOPIARA,Centro Sul,17
AIUABA,Sertão dos Inhamuns,15
ALCÂNTARAS,Sertão de Sobral,7
ALTANEIRA,Cariri,3
ALTO SANTO,Vale do Jaguaribe,7
AMONTADA,Litoral Oeste / Vale do Curu,14
ANTONINA DO NORTE,Cariri,10
APUIARÉS,Litoral Oeste / Vale do Curu,8
AQUIRAZ,Grande Fortaleza,48
ARACATI,Litoral Leste,12
ARACOIABA,Maciço de Baturité,15
ARARENDÁ,Sertão dos Crateús,9
ARARIPE,Cariri,8
ARATUBA,Maciço de Baturité,4
ARNEIROZ,Sertão dos Inhamuns,9
ASSARÉ,Cariri,17
AURORA,Cariri,20
BAIXIO,Centro Sul,22
BANABUIÚ,Sertão Central,5
BARBALHA,Cariri,13
BARREIRA,Maciço de Baturité,11
BARRO,Cariri,7
BARROQUINHA,Litoral Norte,6
BATURITÉ,Maciço de Baturité,13
BEBERIBE,Litoral Leste,11
BELA CRUZ,Litoral Norte,4
BOA VIAGEM,Sertão de Canindé,9
BREJO SANTO,Cariri,12
CAMOCIM,Litoral Norte,13
CAMPOS SALES,Cariri,8
CANINDÉ,Sertão de Canindé,18
CAPISTRANO,Maciço de Baturité,10
CARIDADE,Sertão de Canindé,17
CARIRIAÇU,Cariri,4
CARIRÉ,Sertão de Sobral,10
CARIÚS,Centro Sul,9
CARNAUBAL,Serra da Ibiapaba,7
CASCAVEL,Grande Fortaleza,28
CATARINA,Centro Sul,13
CATUNDA,Sertão dos Crateús,2
CAUCAIA,Grande Fortaleza,133
CEDRO,Centro Sul,24
CHAVAL,Litoral Norte,5
CHOROZINHO,Grande Fortaleza,9
CHORÓ,Sertão Central,4
COREAÚ,Sertão de Sobral,10
CRATEÚS,Sertão dos Crateús,16
CRATO,Cariri,43
CROATÁ,Serra da Ibiapaba,18
CRUZ,Litoral Norte,22
DEPUTADO IRAPUAN PINHEIRO,Sertão Central,6
ERERÊ,Vale do Jaguaribe,6
EUSÉBIO,Grande Fortaleza,28
FARIAS BRITO,Cariri,7
FORQUILHA,Sertão de Sobral,14
FORTALEZA,Grande Fortaleza,1054
FORTIM,Litoral Leste,8
FRECHEIRINHA,Sertão de Sobral,6
GENERAL SAMPAIO,Litoral Oeste / Vale do Curu,7
GRANJA,Litoral Norte,19
GRANJEIRO,Cariri,4
GRAÇA,Sertão de Sobral,8
GROAÍRAS,Sertão de Sobral,10
GUAIÚBA,Grande Fortaleza,1
GUARACIABA DO NORTE,Serra da Ibiapaba,14
GUARAMIRANGA,Maciço de Baturité,8
HIDROLÂNDIA,Sertão dos Crateús,12
HORIZONTE,Grande Fortaleza,13
IBARETAMA,Sertão Central,8
IBIAPINA,Serra da Ibiapaba,5
IBICUITINGA,Sertão Central,8
ICAPUÍ,Litoral Leste,3
ICÓ,Centro Sul,18
IGUATU,Centro Sul,31
INDEPENDÊNCIA,Sertão dos Crateús,5
IPAPORANGA,Sertão dos Crateús,15
IPAUMIRIM,Centro Sul,5
IPU,Serra da Ibiapaba,15
IPUEIRAS,Sertão dos Crateús,2
IRACEMA,Vale do Jaguaribe,15
IRAUÇUBA,Litoral Oeste / Vale do Curu,11
ITAITINGA,Grande Fortaleza,17
ITAIÇABA,Litoral Leste,7
ITAPAJÉ,Litoral Oeste / Vale do Curu,15
ITAPIPOCA,Litoral Oeste / Vale do Curu,24
ITAPIÚNA,Maciço de Baturité,6
