;Orgão;Instrumento;Nº OBT;Valor OBT;Data Emissão;CPF/CNPJ;Fornecedor;Tipo DL;Código Item;IPT;Valor DL;Nº DL;Valor Item;Data Pagamento;Dia;Quinzena;Mês;Ano;Situação OBT;CNPJ 14FILL;CNPJ BÁSICO;CNPJ ORDEM;CNPJ DV;IDENTIFICADOR MATRIZ/FILIAL;NOME FANTASIA;SITUAÇÃO CADASTRAL;DATA SITUAÇÃO CADASTRAL;MOTIVO SITUAÇÃO CADASTRAL;CNAE FISCAL PRINCIPAL;CNAE FISCAL SECUNDÁRIA;TIPO DE LOGRADOURO;LOGRADOURO;NÚMERO;COMPLEMENTO;BAIRRO;CEP;SITUAÇÃO ESPECIAL;DATA DA SITUAÇÃO ESPECIAL;CNPJ_x;codigo;Código do município (IBGE);Nome do município;mun_upp;Região de Planejamento;REGIÃO DE PLANEJAMENTO;Nº LOTE;UNIDADE GERENCIADORA;Município;NÚMERO DE COZINHAS POR MUNICÍPIO;N° COZINHAS TOTAL /LOTE;N° COZINHAS FUNCIONANDO;FUNCIONANDO (TOTAL/LOTE);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024);AGUARDANDO AUTORIZAÇÃO PARA ABRIR  (SALDO 2023-2024) TOTAL;NOVAS COZINHAS (2025);TOTAL DE COZINHA PARA ABRIR;TOTAL GERAL COZINHAS/LOTE;REFEIÇÕES /DIA;Nome;CNPJ_y;Situação;Filiação;Data de Validade;Data Cadastro;Data Alteracao;Nº de Socios;Nº de Sócios Válidos;Sócios com CAF(%);CNPJ_str
544;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240613001248700;3048.5;2024-06-13;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);3048.5;3655;268.8;2024-06-14;14;1ªQuinzena;jun.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
545;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240613001248700;1219.4;2024-06-13;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);1219.4;3658;107.52;2024-06-14;14;1ªQuinzena;jun.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
546;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240613001248800;609.7;2024-06-13;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3661;53.76;2024-06-14;14;1ªQuinzena;jun.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
547;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240614001248800;3048.5;2024-06-14;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);3048.5;3657;268.8;2024-06-17;17;2ªQuinzena;jun.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
548;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240614001248800;609.7;2024-06-14;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3659;53.76;2024-06-17;17;2ªQuinzena;jun.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
550;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240617001249500;609.7;2024-06-17;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3662;53.76;2024-06-18;18;2ªQuinzena;jun.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
565;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240711001262700;3048.5;2024-07-11;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);3048.5;3702;268.8;2024-07-12;12;1ªQuinzena;jul.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
566;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240711001262700;609.7;2024-07-11;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);609.7;3704;53.76;2024-07-12;12;1ªQuinzena;jul.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
567;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240711001262700;1219.4;2024-07-11;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);1219.4;3707;107.52;2024-07-12;12;1ªQuinzena;jul.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
568;ORGANIZAÇÃO BARREIRA AMIGOS SOLIDARIOS;1284515;20240715001264000;3048.5;2024-07-15;15565679000133;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO LTDA;Nota Fiscal;211;Gêneros Alimentícios ( Proteínas, Carboidratos, Hortaliças, Sódios e Lipídios);3048.5;3703;268.8;2024-07-16;16;2ªQuinzena;jul.;2024;Efetivada;15565679000133;15565679;0001;33;1;COOPAC;02;20120420;00;4633801;4722901,4634601,1031700,1032599,1033301,1033302,4631100,4632003,4639701,4729699,9430800,9499500,4930202,7490103;COMUNIDADE;CARQUEIJA II;S/N;;ZONA RURAL;62748000;;;15565679000133;1357;2302909.0;Capistrano;CAPISTRANO;Maciço de Baturité;Maciço de Baturité;LOTE 28;OBAS;Capistrano;1.0;38.0;1.0;36.0;0.0;2.0;4.0;6.0;42.0;4.2;COOPERATIVA DA AGRICULTURA FAMILIAR DE CAPISTRANO;15565679000133.0;Aberto apenas para Atualização de Informações;OCB;;21/06/2014 12:35:55;13/03/2025 09:06:29;135.0;63.0;97,78;15565679000133
