mun_upp,Região de Planejamento,valor
ABAIARA,Cariri,727324.55
ACARAPE,Maciço de Baturité,1026773.01
ACARAÚ,Litoral Norte,5435100.7299999995
ACOPIARA,Centro Sul,3374243.33
AIUABA,Sertão dos Inhamuns,1350983.8599999999
ALCÂNTARAS,Sertão de Sobral,483512.96
ALTANEIRA,Cariri,906883.63
ALTO SANTO,Vale do Jaguaribe,542601.05
AMONTADA,Litoral Oeste / Vale do Curu,2122321.9
ANTONINA DO NORTE,Cariri,989182.51
APUIARÉS,Litoral Oeste / Vale do Curu,878365.5299999999
AQUIRAZ,Grande Fortaleza,2200200.88
ARACATI,Litoral Leste,2397207.0500000003
ARACOIABA,Maciço de Baturité,846965.62
ARARENDÁ,Sertão dos Crateús,856730.2000000001
ARARIPE,Cariri,790730.33
ARATUBA,Maciço de Baturité,1095043.03
ARNEIROZ,Sertão dos Inhamuns,667327.8099999999
ASSARÉ,Cariri,1866590.7
AURORA,Cariri,1201933.1099999999
BAIXIO,Centro Sul,413706.75000000006
BANABUIÚ,Sertão Central,782978.32
BARBALHA,Cariri,1797878.75
BARREIRA,Maciço de Baturité,1037492.2299999999
BARRO,Cariri,983099.88
BARROQUINHA,Litoral Norte,769478.9900000001
BATURITÉ,Maciço de Baturité,1801628.55
BEBERIBE,Litoral Leste,2069436.2
BELA CRUZ,Litoral Norte,1180701.45
BOA VIAGEM,Sertão de Canindé,3231725.69
BREJO SANTO,Cariri,1656060.83
CAMOCIM,Litoral Norte,2244372.66
CAMPOS SALES,Cariri,1283511.1700000002
CANINDÉ,Sertão de Canindé,3804664.75
CAPISTRANO,Maciço de Baturité,1053824.54
CARIDADE,Sertão de Canindé,1872204.18
CARIRIAÇU,Cariri,2969496.6399999997
CARIRÉ,Sertão de Sobral,958074.07
CARIÚS,Centro Sul,1050679.78
CARNAUBAL,Serra da Ibiapaba,1065162.6
CASCAVEL,Grande Fortaleza,2749403.29
CATARINA,Centro Sul,821366.9899999999
CATUNDA,Sertão dos Crateús,751037.5099999999
CAUCAIA,Grande Fortaleza,11957583.430000002
CEDRO,Centro Sul,1409619.41
CHAVAL,Litoral Norte,1752767.79
CHOROZINHO,Grande Fortaleza,761996.7
CHORÓ,Sertão Central,835749.1099999999
COREAÚ,Sertão de Sobral,1533350.67
CRATEÚS,Sertão dos Crateús,2268576.77
CRATO,Cariri,3808806.86
CROATÁ,Serra da Ibiapaba,1679375.2799999998
CRUZ,Litoral Norte,1971923.6600000001
DEPUTADO IRAPUAN PINHEIRO,Sertão Central,741173.89
ERERÊ,Vale do Jaguaribe,715716.98
EUSÉBIO,Grande Fortaleza,1084374.03
FARIAS BRITO,Cariri,901643.16
FORQUILHA,Sertão de Sobral,797725.02
FORTALEZA,Grande Fortaleza,63308476.800000004
FORTIM,Litoral Leste,790850.14
FRECHEIRINHA,Sertão de Sobral,864996.28
GENERAL SAMPAIO,Litoral Oeste / Vale do Curu,775844.5800000001
GRANJA,Litoral Norte,2695196.3
GRANJEIRO,Cariri,551454.41
GRAÇA,Sertão de Sobral,726226.02
GROAÍRAS,Sertão de Sobral,890853.7100000001
GUAIÚBA,Grande Fortaleza,469665.31000000006
GUARACIABA DO NORTE,Serra da Ibiapaba,3179707.8899999997
GUARAMIRANGA,Maciço de Baturité,633468.35
HIDROLÂNDIA,Sertão dos Crateús,796127.55
HORIZONTE,Grande Fortaleza,1864758.0899999999
IBARETAMA,Sertão Central,1267933.42
