mun_upp,Região de Planejamento,valor
ABAIARA,Cariri,696996.48
ACARAPE,Maciço de Baturité,991607.62
ACARAÚ,Litoral Norte,5257463.69
ACOPIARA,Centro Sul,3244484.2
AIUABA,Sertão dos Inhamuns,1301157.8499999999
ALCÂNTARAS,Sertão de Sobral,473548.75
ALTANEIRA,Cariri,871954.69
ALTO SANTO,Vale do Jaguaribe,520999.58
AMONTADA,Litoral Oeste / Vale do Curu,2042447.25
ANTONINA DO NORTE,Cariri,947672.0299999999
APUIARÉS,Litoral Oeste / Vale do Curu,842261.3099999999
AQUIRAZ,Grande Fortaleza,2118802.52
ARACATI,Litoral Leste,2296809.14
ARACOIABA,Maciço de Baturité,822177.8600000001
ARARENDÁ,Sertão dos Crateús,815884.78
ARARIPE,Cariri,759873.2
ARATUBA,Maciço de Baturité,1053982.19
ARNEIROZ,Sertão dos Inhamuns,647630.6399999999
ASSARÉ,Cariri,1797389.5899999999
AURORA,Cariri,1151901.42
BAIXIO,Centro Sul,397587.43
BANABUIÚ,Sertão Central,754053.84
BARBALHA,Cariri,1719238.31
BARREIRA,Maciço de Baturité,997956.8799999999
BARRO,Cariri,940383.9600000001
BARROQUINHA,Litoral Norte,738928.0900000001
BATURITÉ,Maciço de Baturité,1735480.0
BEBERIBE,Litoral Leste,2000251.52
BELA CRUZ,Litoral Norte,1134473.31
BOA VIAGEM,Sertão de Canindé,3129014.52
BREJO SANTO,Cariri,1590164.68
CAMOCIM,Litoral Norte,2152313.21
CAMPOS SALES,Cariri,1229569.16
CANINDÉ,Sertão de Canindé,3671785.18
CAPISTRANO,Maciço de Baturité,1016748.0
CARIDADE,Sertão de Canindé,1797318.56
CARIRIAÇU,Cariri,2853740.91
CARIRÉ,Sertão de Sobral,930251.96
CARIÚS,Centro Sul,1007996.92
CARNAUBAL,Serra da Ibiapaba,1025458.42
CASCAVEL,Grande Fortaleza,2645668.09
CATARINA,Centro Sul,789594.9299999999
CATUNDA,Sertão dos Crateús,722587.82
CAUCAIA,Grande Fortaleza,11469247.32
CEDRO,Centro Sul,1350629.7
CHAVAL,Litoral Norte,1680401.73
CHOROZINHO,Grande Fortaleza,739889.16
CHORÓ,Sertão Central,802944.0499999999
COREAÚ,Sertão de Sobral,1472100.4400000002
CRATEÚS,Sertão dos Crateús,2191769.37
CRATO,Cariri,3664438.08
CROATÁ,Serra da Ibiapaba,1617933.46
CRUZ,Litoral Norte,1900696.39
DEPUTADO IRAPUAN PINHEIRO,Sertão Central,710670.82
ERERÊ,Vale do Jaguaribe,687363.6699999999
EUSÉBIO,Grande Fortaleza,1042013.5
FARIAS BRITO,Cariri,855976.58
FORQUILHA,Sertão de Sobral,766775.48
FORTALEZA,Grande Fortaleza,60478450.36
FORTIM,Litoral Leste,761624.6900000001
FRECHEIRINHA,Sertão de Sobral,831476.73
GENERAL SAMPAIO,Litoral Oeste / Vale do Curu,747340.8200000001
GRANJA,Litoral Norte,2610948.12
GRANJEIRO,Cariri,530261.27
GRAÇA,Sertão de Sobral,696573.7
GROAÍRAS,Sertão de Sobral,850693.11
GUAIÚBA,Grande Fortaleza,456505.9
GUARACIABA DO NORTE,Serra da Ibiapaba,3116248.69
GUARAMIRANGA,Maciço de Baturité,609521.0399999999
HIDROLÂNDIA,Sertão dos Crateús,765754.5
HORIZONTE,Grande Fortaleza,1796768.8599999999
IBARETAMA,Sertão Central,1221665.5999999999
IBIAPINA,Serra da Ibiapaba,771886.1699999999
IBICUITINGA,Sertão Central,700609.15
ICAPUÍ,Litoral Leste,784021.3099999999
ICÓ,Centro Sul,4124323.98
IGUATU,Centro Sul,3074960.47
INDEPENDÊNCIA,Sertão dos Crateús,1013817.46
IPAPORANGA,Sertão dos Crateús,754091.9299999999
IPAUMIRIM,Centro Sul,1493933.28
IPU,Serra da Ibiapaba,2536781.68
IPUEIRAS,Sertão dos Crateús,1005598.6499999999
IRACEMA,Vale do Jaguaribe,735207.48
IRAUÇUBA,Litoral Oeste / Vale do Curu,1721403.3199999998
ITAITINGA,Grande Fortaleza,2054665.7100000002
ITAIÇABA,Litoral Leste,455611.29
ITAPAJÉ,Litoral Oeste / Vale do Curu,2199521.81
ITAPIPOCA,Litoral Oeste / Vale do Curu,6977745.760000001
ITAPIÚNA,Maciço de Baturité,1097325.2
ITAREMA,Litoral Norte,2616756.08
